@RELATION meteorite_landings_test

@ATTRIBUTE recclass {"Acapulcoite","Acapulcoite/Lodranite","Acapulcoite/lodranite","Achondrite-prim","Achondrite-ung","Angrite","Aubrite","Aubrite-an","Brachinite","C","C1/2-ung","C2","C2-ung","C3-ung","C3.0-ung","C4","C4-ung","C4/5","C5/6-ung","C6","CB","CBa","CBb","CH/CBb","CH3","CI1","CK","CK3","CK3-an","CK4","CK4-an","CK4/5","CK5","CK5/6","CK6","CM","CM-an","CM1","CM1/2","CM2","CO3","CO3.0","CO3.1","CO3.2","CO3.3","CO3.4","CO3.5","CO3.6","CO3.7","CO3.8","CR","CR-an","CR1","CR2","CR2-an","CR7","CV2","CV3","CV3-an","Chondrite-fusion crust","Chondrite-ung","Diogenite","Diogenite-an","Diogenite-olivine","Diogenite-pm","E","E-an","E3","E3-an","E4","E5","E5-an","E6","EH","EH-imp melt","EH3","EH3/4-an","EH4","EH4/5","EH5","EH6","EH6-an","EH7","EH7-an","EL-melt rock","EL3","EL4","EL4/5","EL5","EL6","EL6/7","EL7","Enst achon-ung","Eucrite","Eucrite-Mg rich","Eucrite-an","Eucrite-br","Eucrite-cm","Eucrite-mmict","Eucrite-pmict","Eucrite-unbr","Fusion crust","H","H(5?)","H(?)4","H(L)3","H(L)3-an","H-an","H-imp melt","H-melt breccia","H-melt rock","H-metal","H/L3","H/L3.5","H/L3.6","H/L3.9","H/L4","H/L4-5","H/L5","H/L6","H/L~4","H3 ","H3","H3-4","H3-5","H3-6","H3-an","H3.0","H3.0-3.4","H3.05","H3.1","H3.10","H3.2","H3.2-3.7","H3.2-6","H3.2-an","H3.3","H3.4","H3.4-5","H3.4/3.5","H3.5","H3.5-4","H3.6","H3.6-6","H3.7","H3.7-5","H3.7-6","H3.7/3.8","H3.8","H3.8-4","H3.8-5","H3.8-6","H3.8-an","H3.8/3.9","H3.8/4","H3.9","H3.9-5","H3.9-6","H3.9/4","H3/4","H4 ","H4","H4(?)","H4-5","H4-6","H4-an","H4-melt breccia","H4/5","H4/6","H5 ","H5","H5-6","H5-7","H5-an","H5-melt breccia","H5/6","H6 ","H6","H6-melt breccia","H7","H?","Howardite","Howardite-an","H~4","H~4/5","H~5","H~6","Iron","Iron- IAB complex","Iron- IAB-MG","Iron- IAB-an","Iron- IAB-sHH","Iron- IAB-sHL","Iron- IAB-sHL-an","Iron- IAB-sLH","Iron- IAB-sLL","Iron- IAB-sLM","Iron- IAB-ung","Iron- IAB?","Iron- IC","Iron- IC-an","Iron- IIAB","Iron- IIAB-an","Iron- IIC","Iron- IID","Iron- IID-an","Iron- IIE","Iron- IIE-an","Iron- IIF","Iron- IIG","Iron- IIIAB","Iron- IIIAB-an","Iron- IIIAB?","Iron- IIIE","Iron- IIIE-an","Iron- IIIF","Iron- IVA","Iron- IVA-an","Iron- IVB","Iron- ungrouped","K","K3","L","L(?)3","L(LL)3","L(LL)3.05","L(LL)3.5-3.7","L(LL)5","L(LL)6","L-imp melt","L-melt breccia","L-melt rock","L-metal","L/LL","L/LL(?)3","L/LL3","L/LL3-5","L/LL3-6","L/LL3.10","L/LL3.2","L/LL3.4","L/LL3.6/3.7","L/LL4","L/LL4-6","L/LL4/5","L/LL5","L/LL5-6","L/LL5/6","L/LL6","L/LL6-an","L/LL~4","L/LL~5","L/LL~6","L3","L3-4","L3-5","L3-6","L3-melt breccia","L3.0","L3.0-3.7","L3.0-3.9","L3.00","L3.05","L3.1","L3.10","L3.2","L3.2-3.5","L3.2-3.6","L3.3","L3.3-3.5","L3.3-3.6","L3.3-3.7","L3.4","L3.4-3.7","L3.5","L3.5-3.7","L3.5-3.8","L3.5-3.9","L3.5-5","L3.6","L3.6-4","L3.7","L3.7-3.9","L3.7-4","L3.7-6","L3.7/3.8","L3.8","L3.8-6","L3.8-an","L3.9","L3.9-5","L3.9-6","L3.9/4","L3/4","L4 ","L4","L4-5","L4-6","L4-an","L4-melt breccia","L4/5","L5 ","L5","L5-6","L5-7","L5-melt breccia","L5/6","L6 ","L6","L6-melt breccia","L6/7","L7","LL","LL(L)3","LL-imp melt","LL-melt breccia","LL-melt rock","LL3","LL3-5","LL3-6","LL3.0","LL3.00","LL3.05","LL3.1","LL3.1-3.5","LL3.15","LL3.2","LL3.3","LL3.4","LL3.5","LL3.6","LL3.7","LL3.7-6","LL3.8","LL3.8-4","LL3.8-6","LL3.9","LL3.9/4","LL3/4","LL4","LL4-5","LL4-6","LL4/5","LL5","LL5-6","LL5-7","LL5/6","LL6 ","LL6","LL6(?)","LL6-an","LL6-melt breccia","LL7","LL7(?)","LL~3","LL~5","LL~6","Lodranite","Lodranite-an","Lunar (anorth)","Lunar (bas. breccia)","Lunar (bas/anor)","Lunar (basalt)","Lunar (feldsp. breccia)","Lunar (gabbro)","Lunar (norite)","Lunar","L~3","L~4","L~4-6","L~5","L~6","Martian (OPX)","Martian (basaltic breccia)","Martian (chassignite)","Martian (nakhlite)","Martian (shergottite)","Mesosiderite","Mesosiderite-A","Mesosiderite-A1","Mesosiderite-A2","Mesosiderite-A3","Mesosiderite-A3/4","Mesosiderite-A4","Mesosiderite-B","Mesosiderite-B1","Mesosiderite-B2","Mesosiderite-B4","Mesosiderite-C","Mesosiderite-C2","Mesosiderite-an","Mesosiderite?","OC","Pallasite","Pallasite- PES","Pallasite- PMG","Pallasite- PMG-an","Pallasite- ungrouped","Pallasite?","R","R3","R3-4","R3-5","R3-6","R3.5-4","R3.5-6","R3.6","R3.8","R3.8-5","R3.8-6","R3.9","R4","R5","R6","Relict OC","Relict iron","Stone-uncl","Stone-ung","Ureilite","Ureilite-an","Ureilite-pmict","Winonaite"}
@ATTRIBUTE mass numeric
@ATTRIBUTE fall {Fell,Found}
@ATTRIBUTE yearoflanding DATE yyyy
@ATTRIBUTE class {NE,NW,SE,SW}

@DATA
"H5",7450,Fell,1950,SW
"H6",41,Fell,1904,NE
"L6",9500,Fell,2009,NW
"L6",1300,Fell,1923,NE
"H5",2000,Fell,1905,NE
"L4",1280,Fell,1920,NE
"L6",94.2,Fell,1905,NW
"LL6",265,Fell,1933,NW
"L6",1384.2,Fell,1945,NW
"Aubrite",800,Fell,1905,NE
"L6",50000,Fell,1905,NE
"L6",2000,Fell,1905,NE
"L5",50000,Fell,1905,NE
"H4",9330,Fell,1952,SW
"Iron- IIAB",1230,Fell,1908,NE
"H",146,Fell,1905,NW
"L4",134,Fell,1968,NE
"L6",2830,Fell,1938,NW
"L6",18000,Fell,1904,NE
"Iron- IAB-sLL",10322,Fell,1934,NE
"L4",3700,Fell,1929,NW
"L6",345,Fell,1922,NW
"CV3",1000,Fell,1907,NE
"Iron- ungrouped",16700,Fell,1993,NE
"LL6",11500,Fell,1905,SE
"L6",15000,Fell,1905,NE
"L5",14,Fell,1913,NE
"CM2",629,Fell,1933,SE
"H5",6400,Fell,1904,NW
"Mesosiderite-A1",3200,Fell,1905,NW
"H5",23.2,Fell,1904,NE
"LL4",17,Fell,1905,NE
"L6",4500,Fell,1910,NE
"L5",44000,Fell,1965,NW
"H5",29560,Fell,2006,NW
"L5",15500,Fell,1994,NE
"H4",21000,Fell,1905,NW
"L6",86000,Fell,1902,NW
"L6",2900,Fell,2012,NW
"LL5",1557,Fell,1989,NW
"L6",611,Fell,1916,NW
"H5",16000,Fell,1929,NW
"H5",14000,Fell,1905,NW
"H5",794,Fell,1949,NW
"C2-ung",375,Fell,1961,NW
"LL4",3700,Fell,1904,NE
"LL6",25000,Fell,2004,NW
"L6",19000,Fell,2001,NE
"H6",1770.5,Fell,1938,NW
"H6",3880,Fell,1943,SE
"LL6",45000,Fell,2002,NW
"LL6",2840,Fell,1949,NW
"L6",270,Fell,2008,SW
"Eucrite-mmict",18000,Fell,1924,NW
"L6",1440,Fell,1904,NW
"Eucrite-mmict",960,Fell,2004,NW
"H",13.9,Fell,1905,NW
"L5",2000,Fell,1905,NW
"LL3.8",1100,Fell,1921,NE
"L6",18,Fell,1905,NE
"LL6",678,Fell,2002,NE
"L6",100,Fell,1905,NE
"LL3-6",1047,Fell,1940,NE
"Howardite",2500,Fell,1905,NE
"Eucrite-pmict",4000,Fell,1904,NE
"H4",1900,Fell,1905,NE
"Diogenite",25000,Fell,1999,NW
"H5",488.1,Fell,1984,SE
"H4",560,Fell,1923,NE
"Aubrite",6000,Fell,1905,NW
"LL3.15",1039,Fell,1905,NE
"H6",1850,Fell,1904,NE
"L/LL4",330000,Fell,1905,NE
"L5",705,Fell,1941,NW
"L5",2381,Fell,1906,NW
"L6",5100,Fell,1909,NW
"H6",470,Fell,1905,NE
"LL6",67.8,Fell,1938,NW
"LL3.9",7500,Fell,1977,NE
"L6",56,Fell,1904,NW
"Iron- IAB-MG",8800,Fell,1962,NE
"Iron- IIAB",256000,Fell,1916,NE
"LL6",1676,Fell,1904,NE
"L6",8600,Fell,1905,NE
"CM2",1342,Fell,1930,NE
"L5",7000,Fell,1905,NE
"H5",500,Fell,1904,NE
"L4",614,Fell,1904,NE
"L6",190,Fell,2003,NW
"L6",3599,Fell,2011,NW
"L3",5460,Fell,1969,NW
"L",762,Fell,1905,NW
"Iron- IIAB",39000,Fell,1905,NE
"H5",1500,Fell,1956,NE
"H/L3.9",7250,Fell,1905,NE
"Eucrite-pmict",219,Fell,1933,NE
"L6",303000,Fell,1960,NW
"CV3",5300,Fell,2001,NE
"Eucrite",324,Fell,2007,SE
"Howardite",357,Fell,1942,NE
"H5",120000,Fell,1919,NE
"H4-an",1504,Fell,1990,NW
"L6",25000,Fell,1946,NE
"L6",5000,Fell,1905,NE
"Aubrite",1500,Fell,1905,NE
"H6",29000,Fell,1905,NE
"H4",41000,Fell,2008,NW
"L/LL6",25000,Fell,1905,NW
"Iron- IIIAB",48500,Fell,1905,NW
"OC",212,Fell,1919,NE
"H/L4",478,Fell,2007,NW
"Stone-uncl",2400,Fell,1916,NE
"L5",23680,Fell,1991,SW
"L6",4000,Fell,1964,NE
"H4",945,Fell,1905,NE
"H5",34000,Fell,1905,NW
"H6",1400,Fell,1973,NW
"H6",2300,Fell,1905,NW
"H6",750,Fell,1934,SW
"H4-5",342,Fell,2007,SW
"LL6",8,Fell,1902,NE
"H5",7300,Fell,1905,NW
"L6",94,Fell,1905,NW
"Stone-uncl",15000,Fell,1904,NE
"OC",1360,Fell,1904,NW
"L3.7",1025,Fell,1988,NW
"H5",45.6,Fell,1956,NW
"H5",6460,Fell,1905,NE
"L6",3700,Fell,1998,NE
"H6",0.5,Fell,1904,NE
"LL3.4",8200,Fell,1907,NE
"L5",18300,Fell,1933,SW
"L5",8800,Fell,1905,NE
"L6",1100,Fell,1905,NE
"H5",1810,Fell,1977,NE
"L6",31500,Fell,1904,NE
"Iron- IVA",4300,Fell,1905,NW
"H6",27000,Fell,1904,NE
"H6",12000,Fell,1905,NE
"Martian (chassignite)",4000,Fell,1904,NE
"L6",30000,Fell,1905,NE
"Howardite",2945,Fell,1925,NW
"H4",2936,Fell,1988,SE
"LL5",100000,Fell,2013,NE
"H5",100000,Fell,2007,NW
"H4",6000,Fell,1964,NE
"LL6",8400,Fell,1933,NW
"L5",705,Fell,1901,NE
"Eucrite-mmict",1700,Fell,1939,NE
"Stone-uncl",72,Fell,1905,NE
"H6",367,Fell,1981,NE
"LL6",303,Fell,1938,NW
"Iron- IIIAB",3920,Fell,1988,SE
"L6",4000,Fell,1978,NE
"L5",1600,Fell,1979,SE
"L6",1455,Fell,1984,NW
"L6",104000,Fell,1917,NW
"CM2",5200,Fell,1905,SE
"L6",469,Fell,1994,NW
"H5",5000,Fell,1905,NE
"H4",20350,Fell,1965,SW
"H5",1200,Fell,1905,NW
