@RELATION meteorite_landings

@ATTRIBUTE recclass {"Acapulcoite","Acapulcoite/Lodranite","Acapulcoite/lodranite","Achondrite-prim","Achondrite-ung","Angrite","Aubrite","Aubrite-an","Brachinite","C","C1/2-ung","C2","C2-ung","C3-ung","C3.0-ung","C4","C4-ung","C4/5","C5/6-ung","C6","CB","CBa","CBb","CH/CBb","CH3","CI1","CK","CK3","CK3-an","CK4","CK4-an","CK4/5","CK5","CK5/6","CK6","CM","CM-an","CM1","CM1/2","CM2","CO3","CO3.0","CO3.1","CO3.2","CO3.3","CO3.4","CO3.5","CO3.6","CO3.7","CO3.8","CR","CR-an","CR1","CR2","CR2-an","CR7","CV2","CV3","CV3-an","Chondrite-fusion crust","Chondrite-ung","Diogenite","Diogenite-an","Diogenite-olivine","Diogenite-pm","E","E-an","E3","E3-an","E4","E5","E5-an","E6","EH","EH-imp melt","EH3","EH3/4-an","EH4","EH4/5","EH5","EH6","EH6-an","EH7","EH7-an","EL-melt rock","EL3","EL4","EL4/5","EL5","EL6","EL6/7","EL7","Enst achon-ung","Eucrite","Eucrite-Mg rich","Eucrite-an","Eucrite-br","Eucrite-cm","Eucrite-mmict","Eucrite-pmict","Eucrite-unbr","Fusion crust","H","H(5?)","H(?)4","H(L)3","H(L)3-an","H-an","H-imp melt","H-melt breccia","H-melt rock","H-metal","H/L3","H/L3.5","H/L3.6","H/L3.9","H/L4","H/L4-5","H/L5","H/L6","H/L~4","H3 ","H3","H3-4","H3-5","H3-6","H3-an","H3.0","H3.0-3.4","H3.05","H3.1","H3.10","H3.2","H3.2-3.7","H3.2-6","H3.2-an","H3.3","H3.4","H3.4-5","H3.4/3.5","H3.5","H3.5-4","H3.6","H3.6-6","H3.7","H3.7-5","H3.7-6","H3.7/3.8","H3.8","H3.8-4","H3.8-5","H3.8-6","H3.8-an","H3.8/3.9","H3.8/4","H3.9","H3.9-5","H3.9-6","H3.9/4","H3/4","H4 ","H4","H4(?)","H4-5","H4-6","H4-an","H4-melt breccia","H4/5","H4/6","H5 ","H5","H5-6","H5-7","H5-an","H5-melt breccia","H5/6","H6 ","H6","H6-melt breccia","H7","H?","Howardite","Howardite-an","H~4","H~4/5","H~5","H~6","Iron","Iron- IAB complex","Iron- IAB-MG","Iron- IAB-an","Iron- IAB-sHH","Iron- IAB-sHL","Iron- IAB-sHL-an","Iron- IAB-sLH","Iron- IAB-sLL","Iron- IAB-sLM","Iron- IAB-ung","Iron- IAB?","Iron- IC","Iron- IC-an","Iron- IIAB","Iron- IIAB-an","Iron- IIC","Iron- IID","Iron- IID-an","Iron- IIE","Iron- IIE-an","Iron- IIF","Iron- IIG","Iron- IIIAB","Iron- IIIAB-an","Iron- IIIAB?","Iron- IIIE","Iron- IIIE-an","Iron- IIIF","Iron- IVA","Iron- IVA-an","Iron- IVB","Iron- ungrouped","K","K3","L","L(?)3","L(LL)3","L(LL)3.05","L(LL)3.5-3.7","L(LL)5","L(LL)6","L-imp melt","L-melt breccia","L-melt rock","L-metal","L/LL","L/LL(?)3","L/LL3","L/LL3-5","L/LL3-6","L/LL3.10","L/LL3.2","L/LL3.4","L/LL3.6/3.7","L/LL4","L/LL4-6","L/LL4/5","L/LL5","L/LL5-6","L/LL5/6","L/LL6","L/LL6-an","L/LL~4","L/LL~5","L/LL~6","L3","L3-4","L3-5","L3-6","L3-melt breccia","L3.0","L3.0-3.7","L3.0-3.9","L3.00","L3.05","L3.1","L3.10","L3.2","L3.2-3.5","L3.2-3.6","L3.3","L3.3-3.5","L3.3-3.6","L3.3-3.7","L3.4","L3.4-3.7","L3.5","L3.5-3.7","L3.5-3.8","L3.5-3.9","L3.5-5","L3.6","L3.6-4","L3.7","L3.7-3.9","L3.7-4","L3.7-6","L3.7/3.8","L3.8","L3.8-6","L3.8-an","L3.9","L3.9-5","L3.9-6","L3.9/4","L3/4","L4 ","L4","L4-5","L4-6","L4-an","L4-melt breccia","L4/5","L5 ","L5","L5-6","L5-7","L5-melt breccia","L5/6","L6 ","L6","L6-melt breccia","L6/7","L7","LL","LL(L)3","LL-imp melt","LL-melt breccia","LL-melt rock","LL3","LL3-5","LL3-6","LL3.0","LL3.00","LL3.05","LL3.1","LL3.1-3.5","LL3.15","LL3.2","LL3.3","LL3.4","LL3.5","LL3.6","LL3.7","LL3.7-6","LL3.8","LL3.8-4","LL3.8-6","LL3.9","LL3.9/4","LL3/4","LL4","LL4-5","LL4-6","LL4/5","LL5","LL5-6","LL5-7","LL5/6","LL6 ","LL6","LL6(?)","LL6-an","LL6-melt breccia","LL7","LL7(?)","LL~3","LL~5","LL~6","Lodranite","Lodranite-an","Lunar (anorth)","Lunar (bas. breccia)","Lunar (bas/anor)","Lunar (basalt)","Lunar (feldsp. breccia)","Lunar (gabbro)","Lunar (norite)","Lunar","L~3","L~4","L~4-6","L~5","L~6","Martian (OPX)","Martian (basaltic breccia)","Martian (chassignite)","Martian (nakhlite)","Martian (shergottite)","Mesosiderite","Mesosiderite-A","Mesosiderite-A1","Mesosiderite-A2","Mesosiderite-A3","Mesosiderite-A3/4","Mesosiderite-A4","Mesosiderite-B","Mesosiderite-B1","Mesosiderite-B2","Mesosiderite-B4","Mesosiderite-C","Mesosiderite-C2","Mesosiderite-an","Mesosiderite?","OC","Pallasite","Pallasite- PES","Pallasite- PMG","Pallasite- PMG-an","Pallasite- ungrouped","Pallasite?","R","R3","R3-4","R3-5","R3-6","R3.5-4","R3.5-6","R3.6","R3.8","R3.8-5","R3.8-6","R3.9","R4","R5","R6","Relict OC","Relict iron","Stone-uncl","Stone-ung","Ureilite","Ureilite-an","Ureilite-pmict","Winonaite"}
@ATTRIBUTE mass numeric
@ATTRIBUTE fall {Fell,Found}
@ATTRIBUTE yearoflanding numeric
@ATTRIBUTE class {NE,NW,SE,SW}

@DATA
"L5",21,Fell,1905,NE
"H6",720,Fell,1951,NE
"EH4",107000,Fell,1952,NW
"Acapulcoite",1914,Fell,1976,NW
"L6",780,Fell,1902,SW
"EH4",4239,Fell,1919,NE
"LL3-6",910,Fell,1949,NE
"H5",30000,Fell,1904,NE
"L6",1620,Fell,1930,SW
"L",1440,Fell,1920,SW
"Diogenite-pm",1000,Fell,1974,NW
"L6",24000,Fell,1925,NE
"L6",779,Fell,1949,NE
"H4",1800,Fell,1905,NE
"H",3000,Fell,1959,NE
"Iron- IVA",50000,Fell,1981,NE
"CR2-an",160,Fell,1957,NE
"LL5",700,Fell,2001,NE
"CI1",6000,Fell,1904,NE
"L/LL4",2000,Fell,1904,NE
"L",625,Fell,1949,NE
"Eucrite-mmict",252,Fell,2002,NE
"LL5",700,Fell,1905,NW
"L6",3200,Fell,1905,NE
"H5",908,Fell,1905,NE
"H4",9251,Fell,1900,NE
"L6",228000,Fell,1905,NE
"H5",32000,Fell,1905,NW
"CV3",2000000,Fell,1969,NW
"Ureilite-an",3950,Fell,2008,NE
"LL5",6000,Fell,1977,NE
"H5",6400,Fell,1905,NE
"Stone-uncl",2700,Fell,1905,NE
"L6",3200,Fell,1905,NW
"L3",600,Fell,1969,NE
"H6",17900,Fell,1939,NE
"Angrite",1500,Fell,1905,SW
"H4",6500,Fell,1942,NE
"H5",2500,Fell,1971,NE
"L6",320,Fell,1984,NE
"LL6",15000,Fell,1914,NW
"L6",3200,Fell,1904,NE
"H5",810,Fell,1954,SW
"H6",5070,Fell,1932,NW
"Stone-uncl",642,Fell,1976,SE
"L6",5000,Fell,1904,NW
"H6",47700,Fell,1939,NW
"L3-6",1900,Fell,1951,NE
"L6",30,Fell,1999,SE
"H5",2270,Fell,1905,NW
"L6",13200,Fell,1904,NE
"L6",577,Fell,1905,SE
"L6",2117,Fell,1943,NE
"H4-6",3230,Fell,1970,SE
"Ureilite",300,Fell,1905,NE
"Mesosiderite-A1",188,Fell,1933,SE
"EL6",10000,Fell,1947,NW
"H5",2400,Fell,1961,SE
"H5",3000,Fell,1904,NE
"H4",3336,Fell,1939,NE
"H6",840,Fell,1916,NE
"L6",10000,Fell,1989,NE
"H5",17226,Fell,1977,NW
"L6",5000,Fell,1993,NW
"LL6",680.5,Fell,1998,NW
"Iron- IID",107000,Fell,1903,NE
"L5",54640,Fell,1951,NE
"Diogenite",1470,Fell,1925,NE
"Eucrite-mmict",127,Fell,1900,SE
"H5",8000,Fell,1974,NE
"LL6",127000,Fell,1904,NE
"H5",277,Fell,1904,NE
"CM2",113,Fell,1940,NE
"Howardite",107.2,Fell,1911,NE
"L5",20000,Fell,1905,NE
"H6",2250,Fell,1904,NE
"L6",1500,Fell,1905,NW
"C2-ung",500,Fell,1957,NE
"Mesosiderite-A3/4",320000,Fell,1905,NW
"L5",89400,Fell,1905,NW
"H4",56000,Fell,1934,NW
"H5",1500,Fell,1905,NE
"H4",2360,Fell,1934,NW
"H4",380,Fell,1905,NE
"CO3.3",3200,Fell,1900,NW
"H5",82,Fell,1924,NE
"OC",220,Fell,1905,NW
"H3-5",10200,Fell,1996,NE
"L6",17600,Fell,1905,NW
"H3",3640,Fell,1922,NW
"H5",152000,Fell,1905,NW
"H4",26000,Fell,1942,SE
"L6",6067,Fell,1924,NW
"H6",240,Fell,1900,NE
"L6",16300,Fell,1905,NW
"Howardite",650,Fell,1905,NW
"L5",23000,Fell,1945,NE
"L5",11620,Fell,1905,NE
"L6",4000,Fell,1904,NE
"Stone-uncl",2500,Fell,1977,NE
"H6",132.7,Fell,1904,NE
"LL6",36.1,Fell,1952,NE
"EH3/4-an",28,Fell,1952,NE
"H4",5000,Fell,1995,NE
"L6",6400,Fell,1905,NE
"Iron- IIE",380,Fell,1917,NE
"Diogenite-pm",102,Fell,1950,NW
"L6",4162,Fell,1984,NE
"H5",725,Fell,1950,NE
"L6",14290,Fell,1909,NE
"L6",18000,Fell,1905,NE
"L6",480,Fell,1947,NE
"L/LL5",670,Fell,1990,NE
"H5-6",1303,Fell,1939,SE
"H4",152000,Fell,1918,NE
"L6",767,Fell,1991,NW
"H5",1750,Fell,1905,NE
"H6",1600,Fell,1905,NE
"H3.7",3618,Fell,1974,NE
"L6",9000,Fell,1964,NE
"L5",45.5,Fell,1976,NE
"H5",215,Fell,2009,NW
"CV3",3500,Fell,1905,NE
"H5",10500,Fell,1905,NE
"L6",8000,Fell,1905,NE
"H4",1000,Fell,1905,NE
"H5",690,Fell,1910,NE
"H6",22000,Fell,1932,SW
"H5",2910,Fell,1996,NE
"L6",1900,Fell,1980,NE
"H6",39000,Fell,1905,NW
"Stone-uncl",1915,Fell,1905,NE
"L5",288,Fell,1972,NW
"LL5",968,Fell,1949,NE
"H5",2449,Fell,1982,NE
"CBa",100000,Fell,1984,NE
"H5",5700,Fell,1904,NE
"L6",28,Fell,1904,NE
"H4/5",34650,Fell,1981,NE
"H3/4",1000,Fell,1905,NE
"OC",1320,Fell,1930,NE
"H?",0.2,Fell,1904,NE
"H3-6",9000,Fell,1934,NE
"L3.4",1456,Fell,1944,NE
"LL4",3710,Fell,1959,NW
"Eucrite-mmict",1000,Fell,1905,NE
"CM2",315,Fell,1921,NE
"L6",8360,Fell,1961,NW
"L6",680,Fell,1905,NW
"H4",1110.6,Fell,1910,NE
"Iron- IAB-sHL",1250,Fell,1905,NE
"Stone-uncl",29000,Fell,1904,NW
"Ureilite",1544,Fell,1971,NE
"H5",3500,Fell,1922,NE
"L3.7-6",6100,Fell,1910,NE
"H5",1000,Fell,1905,NW
"H5",20000,Fell,1905,NE
"H5",750,Fell,1905,NE
"L6",4500,Fell,1904,NW
"H5",414,Fell,2003,NE
"H6",167.7,Fell,2003,NE
"L4",305.5,Fell,1954,NE
"L/LL6",220000,Fell,1912,NW
"Stone-uncl",1415,Fell,1923,NE
"L5",230000,Fell,1905,NW
"L5",2420,Fell,1904,NW
"L6",180,Fell,1956,NE
"OC",266.1,Fell,1963,NW
"Iron- IID",49000,Fell,1904,NE
"H5",1600,Fell,2010,NE
"H6",112,Fell,1905,NE
"EL6",14000,Fell,1901,NE
"Diogenite",2000,Fell,1905,NE
"Eucrite-mmict",2500,Fell,1957,SW
"H6",3973,Fell,1936,NE
"H5",3457,Fell,1956,SE
"H5",1200,Fell,1977,SW
"H6",7330,Fell,1975,SE
"EH4",27000,Fell,1905,NE
"L6",880,Fell,1917,NW
"L6",3000,Fell,1963,NE
"L5",4576,Fell,1977,NW
"H6",7000,Fell,1972,SW
"H",1300,Fell,1954,SE
"H5",3050,Fell,1928,SW
"H5",2024,Fell,1905,SW
